timestamp_of_validation,attribute,average_similarity,std_similarity
2025-05-26T13:42:18.569281,type,0.9019607843137255,0.2983442439962544
2025-05-26T13:42:18.569281,variety,0.5686274509803921,0.4968943798915438
2025-05-26T13:42:18.569281,subvariety,0.9607843137254902,0.19474520942613002
2025-05-26T13:42:18.569281,size,0.5751633986928104,0.49594156141196855
2025-05-26T13:42:18.569281,piece,0.9869281045751634,0.1139556760886929
2025-05-26T13:42:18.569281,brand,0.9215686274509803,0.26973212258953577
2025-05-26T13:42:18.569281,package_type,0.9738562091503268,0.16008683574123195
2025-05-26T13:42:18.569281,class,0.869281045751634,0.3381997707972616
2025-05-26T13:42:18.569281,origin_country_code,0.9869281045751634,0.1139556760886929
2025-05-26T13:42:18.569281,net_weight,0.6274509803921569,0.48507125007266594
2025-05-26T13:42:18.569281,quantity_per_pallet,0.5294117647058824,0.5007733956671916
2025-05-26T13:42:18.569281,price,0.8888888888888888,0.3153017676423058
2025-05-26T13:44:09.099595,type,0.9019607843137255,0.2983442439962544
2025-05-26T13:44:09.099595,variety,0.5686274509803921,0.4968943798915438
2025-05-26T13:44:09.099595,subvariety,0.9607843137254902,0.19474520942613002
2025-05-26T13:44:09.099595,size,0.5751633986928104,0.4959415614119685
2025-05-26T13:44:09.099595,piece,0.9869281045751634,0.1139556760886929
2025-05-26T13:44:09.099595,brand,0.9215686274509803,0.26973212258953577
2025-05-26T13:44:09.099595,package_type,0.9738562091503268,0.16008683574123195
2025-05-26T13:44:09.099595,class,0.869281045751634,0.3381997707972616
2025-05-26T13:44:09.099595,origin_country_code,0.9869281045751634,0.1139556760886929
2025-05-26T13:44:09.099595,net_weight,0.6274509803921569,0.48507125007266594
2025-05-26T13:44:09.099595,quantity_per_pallet,0.5294117647058824,0.5007733956671916
2025-05-26T13:44:09.099595,price,0.8888888888888888,0.3153017676423058
2025-05-26T13:44:26.593031,type,0.9019607843137255,0.2983442439962544
2025-05-26T13:44:26.593031,variety,0.5686274509803921,0.49689437989154384
2025-05-26T13:44:26.593031,subvariety,0.9607843137254902,0.19474520942613002
2025-05-26T13:44:26.593031,size,0.5751633986928104,0.4959415614119685
2025-05-26T13:44:26.593031,piece,0.9869281045751634,0.1139556760886929
2025-05-26T13:44:26.593031,brand,0.9215686274509803,0.2697321225895357
2025-05-26T13:44:26.593031,package_type,0.9738562091503268,0.16008683574123195
2025-05-26T13:44:26.593031,class,0.869281045751634,0.3381997707972616
2025-05-26T13:44:26.593031,origin_country_code,0.9869281045751634,0.1139556760886929
2025-05-26T13:44:26.593031,net_weight,0.6274509803921569,0.48507125007266594
2025-05-26T13:44:26.593031,quantity_per_pallet,0.5294117647058824,0.5007733956671916
2025-05-26T13:44:26.593031,price,0.8888888888888888,0.3153017676423058
2025-05-26T14:09:17.408762,type,0.9019607843137255,0.2983442439962544
2025-05-26T14:09:17.408762,variety,0.5686274509803921,0.4968943798915437
2025-05-26T14:09:17.408762,subvariety,0.9607843137254902,0.19474520942613002
2025-05-26T14:09:17.408762,size,0.5751633986928104,0.4959415614119685
2025-05-26T14:09:17.408762,piece,0.9869281045751634,0.1139556760886929
2025-05-26T14:09:17.408762,brand,0.9215686274509803,0.2697321225895357
2025-05-26T14:09:17.408762,package_type,0.9738562091503268,0.16008683574123195
2025-05-26T14:09:17.408762,class,0.869281045751634,0.3381997707972616
2025-05-26T14:09:17.408762,origin_country_code,0.9869281045751634,0.1139556760886929
2025-05-26T14:09:17.408762,net_weight,0.6274509803921569,0.48507125007266594
2025-05-26T14:09:17.408762,quantity_per_pallet,0.5294117647058824,0.5007733956671916
2025-05-26T14:09:17.408762,price,0.8888888888888888,0.3153017676423058
2025-05-26T14:13:32.382055,type,0.9019607843137255,0.2983442439962544
2025-05-26T14:13:32.382055,variety,0.5686274509803921,0.4968943798915438
2025-05-26T14:13:32.382055,subvariety,0.9607843137254902,0.19474520942613002
2025-05-26T14:13:32.382055,size,0.5751633986928104,0.4959415614119685
2025-05-26T14:13:32.382055,piece,0.9869281045751634,0.1139556760886929
2025-05-26T14:13:32.382055,brand,0.9215686274509803,0.26973212258953577
2025-05-26T14:13:32.382055,package_type,0.9738562091503268,0.16008683574123195
2025-05-26T14:13:32.382055,class,0.869281045751634,0.3381997707972616
2025-05-26T14:13:32.382055,origin_country_code,0.9869281045751634,0.1139556760886929
2025-05-26T14:13:32.382055,net_weight,0.6274509803921569,0.48507125007266594
2025-05-26T14:13:32.382055,quantity_per_pallet,0.5294117647058824,0.5007733956671916
2025-05-26T14:13:32.382055,price,0.8888888888888888,0.3153017676423058
